zh_question,top_1,top_1_sim,top_2,top_2_sim,top_3,top_3_sim,top_4,top_4_sim,top_5,top_5_sim,gpt_pick,gpt_sim
352160616,imw8bq,0.6006,me7r23,0.577,rxurbt,0.5737,fc0y4z,0.5664,11p0ve6,0.566,me7r23,True
570091915,bpkv3f,0.6187,1202z38,0.6074,s91f9h,0.605,iifjsd,0.6025,mp4iru,0.597,iifjsd,True
20948066,xyzwpx,0.603,x3g4e9,0.5757,n8cu4x,0.5713,yd6jiw,0.547,efpusf,0.5415,n8cu4x,True
19849704,c2h63k,0.5786,xr7u9l,0.563,sv3fev,0.5464,cgfhrg,0.533,dv4lw1,0.5303,cgfhrg,True
373924698,mo2ofg,0.623,bq7dgq,0.616,w0wuuc,0.6143,eyxi5c,0.608,cy8srr,0.6025,cy8srr,True
431384436,uqnazl,0.654,v8nssg,0.601,oma3ag,0.564,107dykj,0.561,fzp4qe,0.5435,oma3ag,True
29192504,daj5tk,0.5527,mpnrv9,0.5117,icmcwf,0.5117,fkapsw,0.5,dh9l6t,0.492,icmcwf,True
27483230,datzs3,0.6553,pf015w,0.6196,od4diw,0.602,lb9zc4,0.6016,jkricl,0.5923,datzs3,True
40295618,l36xuc,0.6807,qoienl,0.665,ntb58o,0.6484,q8hatz,0.6484,hf6h63,0.635,l36xuc,True
418286379,dmpm2e,0.579,g4x3qu,0.572,qkdm7a,0.5635,ceo92p,0.548,u0h880,0.544,ceo92p,True
30643838,cooa6t,0.661,wf2kbz,0.641,defjio,0.627,zh3pj4,0.6245,c06p98,0.6226,c06p98,True
574144828,lwgwld,0.585,nq9gvt,0.558,d9bkon,0.549,dxymsk,0.545,fbapgh,0.544,lwgwld,True
472420082,uog56f,0.6543,j7milx,0.6465,boho65,0.613,hjshkl,0.6074,pvof1u,0.6016,uog56f,True
56596117,ediozg,0.6133,g9a67r,0.6025,gzh2xe,0.597,eragdj,0.5635,d0097a,0.5557,ediozg,True
548477823,g09fp9,0.7236,sad7k6,0.635,sfrpyy,0.6147,gq6p5l,0.611,ginau5,0.6104,g09fp9,True
450046067,violcv,0.5835,mrw481,0.5674,c37ba1,0.5674,hu3rrl,0.567,vrhiny,0.5654,c37ba1,True
343758856,te6wv7,0.579,h8f3od,0.579,10osk58,0.5654,hr4mpl,0.564,yqwruc,0.564,yqwruc,True
30696735,dvh1zh,0.6357,tslkj7,0.626,wq56ha,0.598,br415g,0.574,cos1ot,0.564,dvh1zh,True
478393321,euvoax,0.654,kwo7o9,0.632,g4mr8p,0.6196,hzff7f,0.618,fb4yfp,0.6035,hzff7f,True
429169065,eswgls,0.629,mo2ofg,0.6147,dqem5u,0.607,jh9ood,0.599,q03w4q,0.587,q03w4q,True
34988875,xrj8sk,0.678,u66ujo,0.655,l47dr5,0.646,chq45j,0.6367,kgto99,0.635,xrj8sk,True
384702608,eafsia,0.6978,p1nnf9,0.687,fkkrmr,0.6787,f9akr1,0.6772,dpzcwk,0.675,eafsia,True
