zh_question,top_1,top_1_sim,top_2,top_2_sim,top_3,top_3_sim,top_4,top_4_sim,top_5,top_5_sim,gpt_pick,gpt_pick_question
28045262,uhjw79,0.5864,ussoi1,0.579,mpq3c8,0.547,10p9b5c,0.545,df21bl,0.5425,uhjw79,False
60177759,vrhiny,0.4958,vfibf2,0.4868,z2x3f5,0.4846,ig8axg,0.481,f75qr6,0.4705,ig8axg,False
352160616,imw8bq,0.6006,me7r23,0.577,rxurbt,0.5737,fc0y4z,0.5664,11p0ve6,0.566,me7r23,True
550432545,kiuoc4,0.5493,h8rl5i,0.5483,kw516q,0.5435,lkz7mz,0.521,127xz13,0.5024,kiuoc4,False
360997863,epq4d9,0.4534,pkhm4x,0.4426,123ondu,0.428,drqtny,0.4275,ezxf6h,0.426,123ondu,False
40640023,kyft94,0.4673,m8r0o0,0.4539,cztp8a,0.444,cfas5j,0.4429,nwj2ug,0.4402,cztp8a,False
358533205,csrovt,0.5454,nchao6,0.5254,c86etu,0.518,mzypbr,0.5166,ziepmu,0.514,nchao6,False
539466312,u4d31r,0.614,vtn2e4,0.587,eyt559,0.577,10nygeo,0.5713,ui6tcg,0.5693,10nygeo,False
351292633,do9ofl,0.567,db9jvv,0.537,f30rqt,0.536,sejj0v,0.5327,gcbavc,0.5264,gcbavc,False
351178544,i4if53,0.4473,ddv4rk,0.446,ujohg7,0.4421,ueq15p,0.442,dkxmrp,0.4397,i4if53,False
317084744,11blewr,0.46,yu9e32,0.4446,dxgg0f,0.4436,mvsp3i,0.427,g2u05a,0.4258,g2u05a,False
46731839,uhjw79,0.4712,df21bl,0.4587,bvhbmq,0.4565,wm2oox,0.4548,d6x12c,0.45,wm2oox,False
512803787,pkhm4x,0.45,s3xxcx,0.4495,d6uuzm,0.4314,q13rso,0.4246,rmhdbc,0.4236,d6uuzm,False
581505653,vxu3ox,0.53,127xz13,0.5005,rre6u4,0.4854,rqhnq8,0.481,cbgf80,0.473,vxu3ox,False
39683528,bspq4p,0.608,nuq9zo,0.5815,ezzdbu,0.578,uf9j5z,0.5576,lptajx,0.5566,bspq4p,False
542097564,v3l6cf,0.442,f1m88i,0.431,fb0r7t,0.4277,ownbvt,0.427,k65bgp,0.424,fb0r7t,False
367581389,cztp8a,0.529,ncrw5d,0.528,xe058x,0.513,cfas5j,0.512,r9i1b4,0.505,cztp8a,False
23194748,zfezhf,0.531,pkhm4x,0.5273,e5jn61,0.5264,rrcksb,0.5176,gg87wq,0.511,rrcksb,False
338159975,x26ncd,0.4932,gzh2xe,0.483,el17ez,0.4688,x7kppu,0.4639,kyyg06,0.4622,el17ez,False
30131398,mqdlit,0.5293,fljdwo,0.5015,ew53xx,0.4958,erpsyw,0.4949,gtxk0h,0.4912,erpsyw,False
